Judul Pelatihan,Tipe,Kategori,Durasi (JP),Durasi (UK),Tag
MEMPERKENALKAN DIRI DALAM BAHASA KOREA,OFFLINE,"Bahasa / Bahasa Asing",40,2,Durasi Pendek
PRACTICAL ENGLISH CONVERSATION PHRASES AT WORK,OFFLINE,"Bahasa / Bahasa Asing",40,3,Durasi Pendek
MANUAL BREWING,OFFLINE,"Pariwisata / Layanan Hotel (Hotel Services)",40,3,Astacita Perkasa
ENGLISH FOR BUSINESS TELEPHONING,OFFLINE,"Bahasa / Bahasa Asing",40,2,Durasi Pendek
MENGELOLA ADMINISTRASI PERGUDANGAN,OFFLINE,"Bisnis dan Manajemen / Logistik",40,3,Durasi Pendek
USING THE SIX MOST COMMON ENGLISH TENSES,OFFLINE,"Bahasa / Bahasa Asing",40,1,Durasi Pendek
MENGELOLA SURAT ELEKTRONIK,OFFLINE,"Bisnis dan Manajemen / Manajemen Perkantoran",40,2,Future Job
PLATE FITTER PERKAPALAN,OFFLINE,"Las / Fabrikasi",180,10,Astacita Infrastruktur
PEMASANGAN SISTEM KEAMANAN BANGUNAN SEDERHANA BERBASIS IOT,OFFLINE,"Elektronika / Telekomunikasi",164,6,Astacita Infrastruktur
PCB DESIGNER,OFFLINE,"Elektronika / Otomatisasi Elektronika",260,13,Astacita Infrastruktur
PEMELIHARAAN ALAT KESEHATAN,OFFLINE,"Elektronika / Otomatisasi Elektronika",230,12,Astacita Infrastruktur
PEMASANGAN MOTOR TEMPEL SPEED BOAT,OFFLINE,"Kemaritiman / Teknik Perkapalan",180,10,Astacita Infrastruktur
MODIFIKASI MESIN SEPEDA MOTOR,OFFLINE,"Otomotif / Sepeda Motor",300,13,Future Job
MENGEMUDI MOBIL AMBULANCE,OFFLINE,"Pelayanan Sosial dan Masyarakat / Spesialis",152,12,Astacita Kesehatan
MENGEMUDI ANGKUTAN BARANG PENGANGKUT ALAT BERAT,OFFLINE,"Pelayanan Transportasi / Transportasi Darat",200,18,Astacita Pertambangan
PENGEMUDI ANGKUTAN BARANG PENGANGKAT PETI KEMAS,OFFLINE,"Pelayanan Transportasi / Transportasi Darat",200,18,Astacita Pertambangan
PERAKITAN DAN PERAWATAN PERANGKAT AUDIO SOUND SYSTEM,OFFLINE,"Elektronika / Home Appliance Service",260,12,Astacita Infrastruktur
TEKNISI MAINTENANCE PERANGKAT ELEKTRONIKA,OFFLINE,"Elektronika / Otomatisasi Elektronika",260,10,Astacita Infrastruktur
PENGOPERASIAN TANUR,OFFLINE,"Pertambangan / Pertambangan Terbuka",100,6,Astacita Pertambangan
PENGGANTIAN TYRE ALAT BERAT,OFFLINE,"Konstruksi / Mekanikal",160,7,Astacita Pertambangan
PERAKITAN DAN MONITORING BATERAI PAK,OFFLINE,"Elektronika / Home Appliance Service",260,14,Astacita Infrastruktur
TEAM LEADER INSTALLATION & ACTIVATION,OFFLINE,"Elektronika / Telekomunikasi",160,14,Astacita Infrastruktur
PEMANDU WISATA SELAM (DIVE TOUR GUIDE),OFFLINE,"Pariwisata / Layanan Perjalanan (Travel Services)",328,15,Astacita Pariwisata
SENIOR TEKNISI INSTALASI SATELIT (VSAT-IP),OFFLINE,"Elektronika / Telekomunikasi",100,11,Astacita Infrastruktur
PIMPINAN TRIP SNORKELING,OFFLINE,"Pariwisata / Layanan Perjalanan (Travel Services)",400,22,Astacita Pariwisata
OPEN WATER SCUBA DIVER,OFFLINE,"Pariwisata / Layanan Perjalanan (Travel Services)",160,8,Astacita Pariwisata
SANTE PAR AQUA (SPA) TRADISIONAL KARO,OFFLINE,"Kesehatan / Tenaga Non Medis",180,10,Astacita Pariwisata
MENYIAPKAN DAN MENGOLAH HIDANGAN THAILAND,OFFLINE,"Pariwisata / Layanan Hotel (Hotel Services)",160,12,Astacita Pariwisata
